Make,Model,Year,Mileage,Price,FuelType
Toyota,Corolla,2020,15000,20000,Gasoline
Honda,Civic,2019,20000,22000,Gasoline
Ford,Focus,2018,25000,18000,Gasoline
Chevrolet,Malibu,2021,10000,24000,Gasoline
Nissan,Altima,2020,12000,23000,Gasoline
Hyundai,Elantra,2019,30000,19000,Gasoline
Kia,Optima,2020,15000,21000,Gasoline
Volkswagen,Jetta,2018,35000,17000,Gasoline
Subaru,Impreza,2021,8000,25000,Gasoline
Mazda,CX-5,2019,22000,24000,Gasoline
Toyota,RAV4,2020,14000,28000,Gasoline
Honda,CR-V,2018,27000,26000,Gasoline
Ford,Escape,2021,9000,27000,Gasoline
Chevrolet,Equinox,2019,32000,23000,Gasoline
Nissan,Rogue,2020,11000,25000,Gasoline
Hyundai,Tucson,2019,28000,22000,Gasoline
Kia,Sportage,2020,13000,24000,Gasoline
Volkswagen,Tiguan,2018,34000,21000,Gasoline
Subaru,Forester,2021,7000,29000,Gasoline
Mazda,CX-30,2019,15000,23000,Gasoline
Toyota,Sienna,2020,10000,35000,Gasoline
Honda,Odyssey,2018,30000,32000,Gasoline
Ford,Transit,2021,5000,40000,Gasoline
Chevrolet,Express,2019,40000,30000,Gasoline
Nissan,NV3500,2020,15000,35000,Gasoline
Hyundai,Palisaide,2021,8000,40000,Gasoline
Kia,Telluride,2020,12000,45000,Gasoline
Volkswagen,Atlas,2019,25000,38000,Gasoline
Subaru,Ascent,2021,6000,42000,Gasoline
Mazda,MX-5 Miata,2018,20000,28000,Gasoline
Toyota,86,2020,15000,30000,Gasoline
Honda,Fit,2019,22000,19000,Gasoline
Ford,Fusion,2018,35000,17000,Gasoline
Chevrolet,Impala,2021,9000,25000,Gasoline
Nissan,Maxima,2020,13000,32000,Gasoline
Hyundai,Sonata,2019,28000,21000,Gasoline
Kia,Cadenza,2020,14000,29000,Gasoline
Volkswagen,Passat,2018,30000,20000,Gasoline
Subaru,Legacy,2021,5000,27000,Gasoline
Mazda,3,2019,15000,22000,Gasoline
Toyota,Highlander,2020,12000,35000,Gasoline
Honda,Pilot,2018,40000,33000,Gasoline
Ford,Explorer,2021,8000,38000,Gasoline
Chevrolet,Tahoe,2019,30000,60000,Gasoline
Nissan,Armada,2020,15000,65000,Gasoline
Hyundai,Kona,2019,20000,21000,Gasoline
Kia,Niro,2020,10000,23000,Gasoline
Volkswagen,ID.4,2021,5000,40000,Electric
Subaru,SUV,2018,35000,25000,Gasoline
Mazda,CX-9,2019,22000,32000,Gasoline
Toyota,Land Cruiser,2020,12000,85000,Gasoline
Honda,HR-V,2018,30000,22000,Gasoline
Ford,Edge,2021,7000,35000,Gasoline
Chevrolet,Blazer,2019,25000,33000,Gasoline
Nissan,Kicks,2020,15000,20000,Gasoline
Hyundai,Ioniq,2021,8000,30000,Electric
Kia,Soul,2019,20000,21000,Gasoline